handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_cc9904bf-d3fd-7d48-aa85-4f7419b937c2,Variant,,,,,,,,,true,,,1,,48.0,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cc9904bf-d3fd-7d48-aa85-4f7419b937c2,Variant,,,,,,,,,true,,,1,,48.0,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_cc9904bf-d3fd-7d48-aa85-4f7419b937c2,Variant,,,,,,,,,true,,,2,,48.0,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f5a4c3fd-f78b-46a4-2699-04c04b751e81,Product,"""DC""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_5447bc9272d64e2bab4fc679f5d7b0db~mv2.png;b7f29b_93139409b139447c87b3b14eab7450c7~mv2.png,T - Shirts;Men;New Arrivals;Hot Sellers,,,35.0,,true,PERCENT,0.0,InStock,,14.2,Size,DROP_DOWN,Meduim;Large;XL;XXL,Color,COLOR,"#000000:Black;rgb(255, 255, 255):White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c649e6a9-b61a-7c02-fa1b-89f46d8206c3,Product,"""DC""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex sweat hoodies are made with 90% Cotton, 10% Polyester, Weight 9.7 Oz.&nbsp;</p>",b7f29b_dc7d8a00a57044b2b35ec486e0fb892a~mv2.png;b7f29b_29071e66395247929da1da6f5da51762~mv2.png,New Arrivals;Winter,,,55.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_773dfadf-25e5-b2cc-8e3b-b04211dc2ab5,Product,"""Crank Nation""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex sweat hoodies are made with 90% Cotton, 10% Polyester, Weight 9.7 Oz.&nbsp;</p>",b7f29b_d2befbe9b8604477b11a8aa78ffcbd38~mv2.png;b7f29b_9ab33c69f39b483b918fbde7e3dd1d6a~mv2.png,New Arrivals;Winter,,,55.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b465ef1-4163-31c5-9b14-b1d2329f998c,Product,"""One Chance""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex sweat hoodies are made with 90% Cotton, 10% Polyester, Weight 9.7 Oz.&nbsp;</p>",b7f29b_7a243a968eab484c8423407b3ebed788~mv2.png,New Arrivals;Winter,,,55.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_97bf7f8d-98f4-3cc8-2bb1-50a4ddf45dde,Product,"""One Chance""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p><p>&nbsp;</p><p>-White is currently Out of stock</p>",b7f29b_deb1c3d141954a78b13f5cb12712f371~mv2.png;b7f29b_ee631f6560f44ce8ba7ef583447ad5fb~mv2.png,T - Shirts;Men;New Arrivals,,,35.0,,true,PERCENT,0.0,InStock,,14.2,Size,DROP_DOWN,Meduim;Large;XL;XXL,Color,COLOR,#000000:Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_01d13c46-ad56-2eef-a39b-f6439e6a6d0c,Product,"""DMV Harbor Life""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_4d2a4dd229a041a686f831fff1b55d53~mv2.png;b7f29b_36f84e769b374357be9aff8df285ba79~mv2.png,T - Shirts;Men,,,35.0,,true,PERCENT,0.0,InStock,,,Color,COLOR,"#000000:Black;rgb(255, 255, 255):White",Size,DROP_DOWN,Medium;Large;XL;XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_73202b28-b1b4-4b8a-bb35-a53918c7f307,Product,"""DMV""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_d241082ecb8f48aba3bdf3e60dc5aa36~mv2.png;b7f29b_3cb226e09c48458aa492cdb1f9ff9dab~mv2.png,T - Shirts;Men;New Arrivals,,,35.0,,true,PERCENT,0.0,InStock,,14.2,Size,DROP_DOWN,Meduim;Large;XL;XXL,Color,COLOR,"#000000:Black;rgb(255, 255, 255):White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_495cebb0-c3e5-2cf5-e01a-57d0a6149a9f,Product,"""The Capitol Steps""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_24d9200d269149daafdd72930fed5754~mv2.png;b7f29b_9a0f179033dd46e78970a756209b60d9~mv2.png,T - Shirts;Men;New Arrivals,,,35.0,,true,PERCENT,0.0,InStock,,14.2,Size,DROP_DOWN,Meduim;Large;XL;XXL,Color,COLOR,"#000000:Black;rgb(255, 255, 255):White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_61723195-9f27-682b-8fa4-240106dc21b3,Product,"""Crank Nation""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_5bcaba2b7fac4c6988ff1df1ea81b1d2~mv2.png;b7f29b_65d80711ee1b46baaa4a22baaad2e1a5~mv2.png,Hot Sellers;New Arrivals;GO-GO Collection;T - Shirts;Men,,,35.0,,true,PERCENT,0.0,InStock,,14.2,Size,DROP_DOWN,Meduim;Large;XL;XXL,Color,COLOR,"#000000:Black;rgb(255, 255, 255):White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_955fdaa9-65ee-da7a-33a0-be4299b9e847,Product,"""DMV Stripes""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex sweat hoodies are made with 90% Cotton, 10% Polyester, Weight 9.7 Oz.&nbsp;</p>",b7f29b_f813f7496f0b4349bd71182fbfb535d8~mv2.png;b7f29b_8afbdf28c8494878b6a980f15ee5d6a0~mv2.png;b7f29b_0d52eb443db84da2b2229163ccba1ed2~mv2.png,New Arrivals;Winter,,,55.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_9fa53b96-61bf-01bf-b05e-f5ab2eecc0b8,Product,"""Capitol Steps""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex sweat hoodies are made with 90% Cotton, 10% Polyester, Weight 9.7 Oz.&nbsp;</p>",b7f29b_3b676f0e45f84cb2b911ccceb252b01e~mv2.png;b7f29b_53248072d38746fa8c8ecdc31a06ee3e~mv2.png;b7f29b_75bfa6d6adb24bbc897c59064753f621~mv2.png,New Arrivals;Winter,,,55.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_01e918da-5643-e1fd-1044-f13df95fef7d,Product,"""CETS Apparel""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_8e213a995bc0471b90a6caf7ebf936a8~mv2.png;b7f29b_19ed04b0ac2e45f088b56a5f26273521~mv2.png,Sale;T - Shirts;Men,,,35.0,,true,PERCENT,0.0,InStock,,14.2,Color,COLOR,"#000000:Black;rgb(255, 255, 255):White",Size,DROP_DOWN,Large;Meduim;XL;XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_e1b2d685-eefd-aeac-77c6-18217f5edb9d,Product,"Women's ""VA Finest""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_de3bbb3c7c3f42a094c1ae8b0730166b~mv2.jpg;b7f29b_bcdf546b42734499a840aae862ef3911~mv2.jpg,T - Shirts;Women,,,35.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,Medium;Large;XL;XXL,Color,COLOR,"#000000:Black;rgb(255, 255, 255):White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2d156c0f-aa6a-f1ec-2521-0797c718a5e7,Product,"Women's ""I Love GO-GO in Color""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_afd3a58cc1c34742b35a68dd0f5034dc~mv2.jpg;b7f29b_4a8d16b74b714089b48d922d678d298f~mv2.jpg,GO-GO Collection;T - Shirts;Women,,,35.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,Medium;Large;XL;XXL,Color,COLOR,"#000000:Black;rgb(255, 255, 255):White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_30d99a58-5348-559b-ad20-f8261dd0b2be,Product,"Women's ""I Love GO-GO""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_c65e3884c5484446927143d7f0392a1f~mv2.jpg,GO-GO Collection;T - Shirts;Women,,,35.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,Meduim;Large;XL;XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_68e4731a-1718-8127-aa26-220353774ad1,Product,"Women's ""DC, MD, VA""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_dd376d3a68fa4f27b9c9c861871eda03~mv2.jpg;b7f29b_44ba95522db7439fa2d90951fa9f588c~mv2.jpg,Women;T - Shirts,,,35.0,,false,PERCENT,0.0,OutOfStock,,,Size,DROP_DOWN,Medium;Large;XL;XXL,Color,COLOR,"#000000:Black;rgb(255, 255, 255):White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b9bb73e-be10-0147-8266-d1cce89550e7,Product,"Women's ""I Love DMV GO-GO""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_267c4c5682c94bd5b0683a987a23d64e~mv2.jpg,GO-GO Collection;T - Shirts;Women,,,35.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,Medium;Large;XL;XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b9bb73e-be10-0147-8266-d1cce89550e7,Variant,,,,,,,,,true,,,2,,10.22,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b9bb73e-be10-0147-8266-d1cce89550e7,Variant,,,,,,,,,true,,,2,,10.22,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b9bb73e-be10-0147-8266-d1cce89550e7,Variant,,,,,,,,,true,,,2,,11.82,,,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_0b9bb73e-be10-0147-8266-d1cce89550e7,Variant,,,,,,,,,true,,,2,,10.22,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f1292b9-df2d-2176-269b-c3e2279b0937,Product,"Women's ""Maryland Crab""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_e8e8a5c1f66042868cbe7cc99b003342~mv2.jpg;b7f29b_5b2f9d9d14544f99be22692fddf2da47~mv2.jpg,T - Shirts;Women,,,35.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,Medium;Large;XL;XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f1292b9-df2d-2176-269b-c3e2279b0937,Variant,,,,,,,,,true,,,2,,10.22,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f1292b9-df2d-2176-269b-c3e2279b0937,Variant,,,,,,,,,true,,,2,,11.82,,,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f1292b9-df2d-2176-269b-c3e2279b0937,Variant,,,,,,,,,true,,,2,,10.22,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7f1292b9-df2d-2176-269b-c3e2279b0937,Variant,,,,,,,,,true,,,2,,10.22,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c5f5a86d-6720-830c-d890-ebc81ed0930f,Product,"Women's ""Maryland""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_9d6a5bd4caec49289b0a40b2d4777631~mv2.jpg,T - Shirts;Women,,,35.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,Medium;Large;XL;XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c5f5a86d-6720-830c-d890-ebc81ed0930f,Variant,,,,,,,,,true,,,2,,10.2,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c5f5a86d-6720-830c-d890-ebc81ed0930f,Variant,,,,,,,,,true,,,2,,10.2,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c5f5a86d-6720-830c-d890-ebc81ed0930f,Variant,,,,,,,,,true,,,2,,11.82,,,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c5f5a86d-6720-830c-d890-ebc81ed0930f,Variant,,,,,,,,,true,,,2,,10.2,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c1d3e4c6-516d-2cf4-4d2f-064e03c60b1d,Product,"Women's ""Our City Our Sound""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_e4c189c1acef4738a3b8b6b48fe84c81~mv2.jpg,GO-GO Collection;T - Shirts;Women,,,35.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,Medium;Large;XL;XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c1d3e4c6-516d-2cf4-4d2f-064e03c60b1d,Variant,,,,,,,,,true,,,2,,10.22,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c1d3e4c6-516d-2cf4-4d2f-064e03c60b1d,Variant,,,,,,,,,true,,,2,,10.22,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c1d3e4c6-516d-2cf4-4d2f-064e03c60b1d,Variant,,,,,,,,,true,,,2,,10.22,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_c1d3e4c6-516d-2cf4-4d2f-064e03c60b1d,Variant,,,,,,,,,true,,,2,,11.82,,,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2a069a4f-c715-c449-68e6-8c72d314b05a,Product,"Women's ""I Love The 703""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_df69cab9e60740cb9832645c4888cc3f~mv2.jpg;b7f29b_147d16c70fb94c3c8e187559142e27b2~mv2.jpg,T - Shirts;Women,,,35.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,Medium;Large;XL;XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2a069a4f-c715-c449-68e6-8c72d314b05a,Variant,,,,,,,,,true,,,2,,10.22,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2a069a4f-c715-c449-68e6-8c72d314b05a,Variant,,,,,,,,,true,,,2,,10.22,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2a069a4f-c715-c449-68e6-8c72d314b05a,Variant,,,,,,,,,true,,,2,,10.22,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_2a069a4f-c715-c449-68e6-8c72d314b05a,Variant,,,,,,,,,true,,,2,,11.82,,,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_072ec54f-6ccd-21d1-c1bf-6dbfa9812d9f,Product,"Women's ""I Love The 301""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_6149833e5a6f4ed48f8bfc5f7d23edf7~mv2.jpg;b7f29b_88a137915cfb4213a4c305449a58f9e1~mv2.jpg,T - Shirts;Women,,,35.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,Medium;Large;XL;XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_072ec54f-6ccd-21d1-c1bf-6dbfa9812d9f,Variant,,,,,,,,,true,,,2,,10.22,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_072ec54f-6ccd-21d1-c1bf-6dbfa9812d9f,Variant,,,,,,,,,true,,,2,,10.22,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_072ec54f-6ccd-21d1-c1bf-6dbfa9812d9f,Variant,,,,,,,,,true,,,2,,10.22,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_072ec54f-6ccd-21d1-c1bf-6dbfa9812d9f,Variant,,,,,,,,,true,,,2,,10.22,,,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3d908f17-79bf-7583-847a-4d83f3cc6e88,Product,"Women's ""I Love The 202""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_69d270e5e8494aea9e62dbc61ba229dc~mv2.jpg,T - Shirts;Women,,,35.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,Medium;Large;XL;XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3d908f17-79bf-7583-847a-4d83f3cc6e88,Variant,,,,,,,,,true,,,2,,11.82,,,XXL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3d908f17-79bf-7583-847a-4d83f3cc6e88,Variant,,,,,,,,,true,,,2,,10.22,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3d908f17-79bf-7583-847a-4d83f3cc6e88,Variant,,,,,,,,,true,,,2,,10.22,,,Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3d908f17-79bf-7583-847a-4d83f3cc6e88,Variant,,,,,,,,,true,,,2,,10.22,,,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7af7b2d4-cb7c-9b40-f0ee-d4c93486215d,Product,"""I Love The 202""","<p>We bring to you our unique style designed with the DMV night life and culture. Our unisex t-shirts are made with 100% Cotton, Weight 5.6 Oz.</p>",b7f29b_bd0628b065cb45179a342e2a513b8b32~mv2.jpg;b7f29b_1792022a21db4d0f96451dc29247b46a~mv2.jpg;b7f29b_2e21414d85bb42e3862a49848109cd5a~mv2.jpg;b7f29b_dea9da92f6a647f18ad454c46860c257~mv2.jpg,T - Shirts;Men,,,35.0,,true,PERCENT,0.0,InStock,,14.2,Size,DROP_DOWN,Medium;Large;XL;XXL,Color,COLOR,"#000000:Black;rgb(255, 255, 255):White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
